product,label,name,description,category,migipediaUrl,migrosId,migrosOnlineId,productUrls,uid
https://static.rwpz.net/spendcast/gtin/7617400035636,Blévita · Dinkelgebäck · Tomate und Basilikum,Dinkelgebäck,Blévita Dinkelgebäck Tomate und Basilikum,https://static.rwpz.net/spendcast/migros/category/7495024,https://migipedia.migros.ch/de/products/110181300000,110181300000,213255,https://www.migros.ch/de/product/110181300000,100033847
https://static.rwpz.net/spendcast/gtin/7617400036299,Blévita · Dinkelgebäck · Thymian - Meersalz,Dinkelgebäck,Blévita Dinkelgebäck Thymian - Meersalz,https://static.rwpz.net/spendcast/migros/category/7495024,https://migipedia.migros.ch/de/products/110177500000,110177500000,121310,https://www.migros.ch/de/product/110177500000,100022408
https://static.rwpz.net/spendcast/gtin/7617400036381,Blévita · 5-Korngebäck · Choco & Sesam,5-Korngebäck,Blévita 5-Korngebäck Choco & Sesam,https://static.rwpz.net/spendcast/migros/category/7495024,https://migipedia.migros.ch/de/products/110169300000,110169300000,121311,https://www.migros.ch/de/product/110169300000,100022407
https://static.rwpz.net/spendcast/gtin/7617400037333,M-Classic · Zwieback · Urdinkel,Zwieback,M-Classic Zwieback Urdinkel,https://static.rwpz.net/spendcast/migros/category/7494930,https://migipedia.migros.ch/de/products/110301400000,110301400000,220957,https://www.migros.ch/de/product/110301400000,100038665
https://static.rwpz.net/spendcast/gtin/7617400038538,Blévita · Dinkelgebäck · Gruyère AOC,Dinkelgebäck,Blévita Dinkelgebäck Gruyère AOC,https://static.rwpz.net/spendcast/migros/category/7495024,https://migipedia.migros.ch/de/products/110115300000,110115300000,216247,https://www.migros.ch/de/product/110115300000,100035422
https://static.rwpz.net/spendcast/gtin/7617400040876,Bubble Joe · Wassereis · mit Fruchtaromen - Kaugummi Stick,Wassereis,Bubble Joe Wassereis mit Fruchtaromen - Kaugummi Stick,https://static.rwpz.net/spendcast/migros/category/7798225,https://migipedia.migros.ch/de/products/160561600000,160561600000,94717,https://www.migros.ch/de/product/160561600000,100016404
https://static.rwpz.net/spendcast/gtin/7617400041576,Choquello · Glace Praliné · knackig & cremig,Glace Praliné,Choquello Glace Praliné knackig & cremig,https://static.rwpz.net/spendcast/migros/category/7798225,https://migipedia.migros.ch/de/products/160401400000,160401400000,94715,https://www.migros.ch/de/product/160401400000,100016403
https://static.rwpz.net/spendcast/gtin/7617400044010,Crème d'Or · Rahmglace · Pistazie,Rahmglace,Crème d'Or Rahmglace Pistazie,https://static.rwpz.net/spendcast/migros/category/7495551,https://migipedia.migros.ch/de/products/160366800000,160366800000,94680,https://www.migros.ch/de/product/160366800000,100016383
https://static.rwpz.net/spendcast/gtin/7617400044126,Glacetta · Glacecake · Vanille,Glacecake,Glacetta Glacecake Vanille,https://static.rwpz.net/spendcast/migros/category/7495115,https://migipedia.migros.ch/de/products/160620500000,160620500000,94676,https://www.migros.ch/de/product/160620500000,100016375
https://static.rwpz.net/spendcast/gtin/7617400045246,Soft Ice · Glace · Strawberry & Vanilla,Glace,Soft Ice Glace Strawberry & Vanilla,https://static.rwpz.net/spendcast/migros/category/7495552,https://migipedia.migros.ch/de/products/160912400000,160912400000,219690,https://www.migros.ch/de/product/160912400000,100037553
https://static.rwpz.net/spendcast/gtin/7617400045253,Soft Ice · Glace · Vanille mit Schokoladesauce,Glace,Soft Ice Glace Vanille mit Schokoladesauce,https://static.rwpz.net/spendcast/migros/category/7495552,https://migipedia.migros.ch/de/products/160912300000,160912300000,94729,https://www.migros.ch/de/product/160912300000,100016414
https://static.rwpz.net/spendcast/gtin/7617400045413,Soft Ice · Glace · Kaffee mit Kaffeesauce,Glace,Soft Ice Glace Kaffee mit Kaffeesauce,https://static.rwpz.net/spendcast/migros/category/7495552,https://migipedia.migros.ch/de/products/160912500000,160912500000,94730,https://www.migros.ch/de/product/160912500000,100016417
https://static.rwpz.net/spendcast/gtin/7617500014203,Aproz · Légère · wenig Kohlensäure,Légère,Aproz Légère wenig Kohlensäure,https://static.rwpz.net/spendcast/migros/category/7494956,https://migipedia.migros.ch/de/products/120107200000,120107200000,None,https://www.migros.ch/de/product/120107200000,100051234
https://static.rwpz.net/spendcast/gtin/7617500014401,Aproz · Gazéifiée · mit Kohlensäure,Gazéifiée,Aproz Gazéifiée mit Kohlensäure,https://static.rwpz.net/spendcast/migros/category/7494956,https://migipedia.migros.ch/de/products/120107000000,120107000000,None,https://www.migros.ch/de/product/120107000000,100051231
https://static.rwpz.net/spendcast/gtin/7617500014418,Aproz Classic · Natürliches Mineralwasser · Mit Kohlensäure,Natürliches Mineralwasser,Aproz Natürliches Mineralwasser Mit Kohlensäure Gesundheit aus den Alpen,https://static.rwpz.net/spendcast/migros/category/7494956,https://migipedia.migros.ch/de/products/120107100000,120107100000,56835,https://www.migros.ch/de/product/120107100000,100006145
https://static.rwpz.net/spendcast/gtin/7617500195261,Valais · Mineralwasser · still,Mineralwasser,Valais Mineralwasser still,https://static.rwpz.net/spendcast/migros/category/7494955,https://migipedia.migros.ch/de/products/120303800000,120303800000,None,https://www.migros.ch/de/product/120303800000,100051344
https://static.rwpz.net/spendcast/gtin/7617500197012,Migros Bio · Alpenkräuter-Sirup,Alpenkräuter-Sirup,Migros Bio Alpenkräuter-Sirup ,https://static.rwpz.net/spendcast/migros/category/7494954,https://migipedia.migros.ch/de/products/121502100000,121502100000,104582,https://www.migros.ch/de/product/121502100000,100019795
https://static.rwpz.net/spendcast/gtin/7617500197661,Migros Bio · Apfelschorle trüb,Apfelschorle trüb,Migros Bio Apfelschorle trüb ,https://static.rwpz.net/spendcast/migros/category/7494959,https://migipedia.migros.ch/de/products/121051800000,121051800000,None,https://www.migros.ch/de/product/121051800000,100051637
https://static.rwpz.net/spendcast/gtin/7617500198552,Tuca · Citro,Citro,Tuca Citro ,https://static.rwpz.net/spendcast/migros/category/7494951,https://migipedia.migros.ch/de/products/120934500000,120934500000,None,https://www.migros.ch/de/product/120934500000,100125474
https://static.rwpz.net/spendcast/gtin/7617500198910,Tuca · Grapefruit,Grapefruit,Tuca Grapefruit ,https://static.rwpz.net/spendcast/migros/category/7494951,https://migipedia.migros.ch/de/products/120931900000,120931900000,None,https://www.migros.ch/de/product/120931900000,100068529
https://static.rwpz.net/spendcast/gtin/7617500199177,Schweppes · Bitter Lemon · kalorienarm,Bitter Lemon,Schweppes Bitter Lemon kalorienarm,https://static.rwpz.net/spendcast/migros/category/7494952,https://migipedia.migros.ch/de/products/120936100000,120936100000,None,https://www.migros.ch/de/product/120936100000,100152835
https://static.rwpz.net/spendcast/gtin/7618500940585,Biotta Demeter · Bio Frucht- & Gemüsesaft · Rote Bete-Zitrone-Ingwer,Bio Frucht- & Gemüsesaft,Biotta Bio Frucht- & Gemüsesaft Rote Bete-Zitrone-Ingwer,https://static.rwpz.net/spendcast/migros/category/7494964,https://migipedia.migros.ch/de/products/122047900000,122047900000,7030895,https://www.migros.ch/de/product/122047900000,100034445
https://static.rwpz.net/spendcast/gtin/7621361046020,Migros Clean · MCLEAN Mikrofaser Reinigungstücher,MCLEAN Mikrofaser Reinigungstücher,Migros Clean MCLEAN Mikrofaser Reinigungstücher ,https://static.rwpz.net/spendcast/migros/category/7495157,https://migipedia.migros.ch/de/products/706541600000,706541600000,None,https://www.migros.ch/de/product/706541600000,100194140
https://static.rwpz.net/spendcast/gtin/7621361155760,Twist · Care Wet Ersatztücher XL,Care Wet Ersatztücher XL,Twist Care Wet Ersatztücher XL ,https://static.rwpz.net/spendcast/migros/category/7495157,https://migipedia.migros.ch/de/products/706003400000,706003400000,None,https://www.migros.ch/de/product/706003400000,100058884
https://static.rwpz.net/spendcast/gtin/7621500112357,Rausch · Nährendes Shampoo · Ei & Öl,Nährendes Shampoo,Rausch Nährendes Shampoo Ei & Öl,https://static.rwpz.net/spendcast/migros/category/11123793,https://migipedia.migros.ch/de/products/514652100000,514652100000,10608518,https://www.migros.ch/de/product/514652100000,100059223
https://static.rwpz.net/spendcast/gtin/7621500119752,Rausch · Shampoo · Fettige Schuppen,Shampoo,Rausch Shampoo Fettige Schuppen,https://static.rwpz.net/spendcast/migros/category/11123813,https://migipedia.migros.ch/de/products/514652500000,514652500000,10608547,https://www.migros.ch/de/product/514652500000,100053742
https://static.rwpz.net/spendcast/gtin/7622400896170,Philadelphia Balance · Frischkäse · 11% Protein - Max. 3% Fett,Frischkäse,Philadelphia Frischkäse 11% Protein - Max. 3% Fett Fettreduziert,https://static.rwpz.net/spendcast/migros/category/7495337,https://migipedia.migros.ch/de/products/212688600000,212688600000,82323,https://www.migros.ch/de/product/212688600000,100014681
